weight,mae,rmse,top10_hit,rounds
0.0,2.754812132909059,3.8672680720367554,0.8421052631578947,19
0.05,2.761388541877232,3.8088099467301593,0.8421052631578947,19
0.1,2.7700028659924425,3.769362248737514,0.8421052631578947,19
0.15,2.793646447809184,3.749085418042093,0.8421052631578947,19
0.2,2.833940067004466,3.7476204516903606,0.8421052631578947,19
0.25,2.889963385864964,3.764233161619254,0.8421052631578947,19
0.3,2.9553182707080925,3.797970082301425,0.8421052631578947,19
0.35,3.0324275022973888,3.8477763447765896,0.8421052631578947,19
0.4,3.1238517422555114,3.9125686866143554,0.8368421052631579,19
0.45,3.2217144732903784,3.9912762738108647,0.8368421052631579,19
0.5,3.332299757317883,4.082862901951487,0.8368421052631579,19
0.55,3.4481691963672634,4.186339314711757,0.8421052631578947,19
0.6,3.569651402152891,4.300770178525963,0.836842105263158,19
0.65,3.6971418929195825,4.425277854933798,0.8421052631578947,19
0.7,3.8290436737577576,4.559043997947161,0.8368421052631579,19
0.75,3.964161230308818,4.701309548692835,0.8315789473684211,19
0.8,4.100924385757678,4.8513735225587045,0.8263157894736842,19
0.85,4.244832967433369,5.0085909052209985,0.8157894736842106,19
0.9,4.393867463294086,5.172369923138674,0.8105263157894737,19
0.95,4.544736703099987,5.342168909712627,0.8105263157894737,19
1.0,4.698932031113997,5.517492946347714,0.7789473684210527,19
