weight,mae,rmse,top10_hit,rounds
0.0,3.6803382135094056,4.916703476797902,0.7294117647058824,17
0.05,3.6465131697785966,4.816403796781458,0.7294117647058824,17
0.1,3.6179075348226206,4.73411594793167,0.7294117647058824,17
0.15,3.6270254766753003,4.670645303391772,0.7294117647058824,17
0.2,3.6544558027873575,4.626516955158657,0.7294117647058824,17
0.25,3.6864604518036153,4.601957372791618,0.7352941176470589,17
0.3,3.7280517683422647,4.596905161245424,0.7352941176470589,17
0.35,3.7860492584890646,4.611043406832396,0.7352941176470589,17
0.4,3.8529504978514706,4.643843626501392,0.7352941176470589,17
0.45,3.9304053124081415,4.694612775810155,0.7411764705882353,17
0.5,4.015760774416299,4.76253775819151,0.7529411764705882,17
0.55,4.108415339159834,4.846724620968918,0.7588235294117647,17
0.6,4.203027834736521,4.946231500281368,0.7529411764705882,17
0.65,4.308506533882963,5.06009544675873,0.7588235294117647,17
0.7,4.4215420989177705,5.18735376346653,0.7470588235294118,17
0.75,4.541981644569493,5.327060634550176,0.7352941176470589,17
0.8,4.668462482065436,5.478299783721135,0.7411764705882352,17
0.85,4.7999046357480175,5.640193793702034,0.7470588235294118,17
0.9,4.936861851979993,5.8119106105867795,0.7470588235294118,17
0.95,5.08180660224752,5.992667679079347,0.723529411764706,17
1.0,5.23230219624302,6.181734106372365,0.7117647058823529,17
