weight,mae,rmse,top10_hit,rounds
0.0,3.520808426612,4.809320404217632,0.7529411764705882,17
0.05,3.520239683311868,4.718478055115523,0.7529411764705882,17
0.1,3.5268944492722785,4.647168524951826,0.7529411764705882,17
0.15,3.553106887953169,4.596165267033606,0.7529411764705882,17
0.2,3.5918021089183974,4.565931880686012,0.7529411764705882,17
0.25,3.6410974113649215,4.556603464207826,0.7529411764705882,17
0.3,3.6992636851976735,4.567998973301013,0.7529411764705882,17
0.35,3.7612568695220365,4.599658197775249,0.7529411764705882,17
0.4,3.835221953969662,4.650893005851517,0.7529411764705882,17
0.45,3.9201160420679986,4.720842745127187,0.7529411764705882,17
0.5,4.011895616803162,4.808526594325763,0.7470588235294118,17
0.55,4.1184046190724315,4.9128891016487035,0.7411764705882353,17
0.6,4.230558171223326,5.0328377638859605,0.7411764705882353,17
0.65,4.345999969961565,5.167272965216587,0.7411764705882353,17
0.7,4.467796604214942,5.315111177542854,0.7411764705882353,17
0.75,4.598277492599742,5.475302426615109,0.7352941176470589,17
0.8,4.734971140198365,5.646842944761874,0.723529411764706,17
0.85,4.876163911336418,5.828783812905417,0.7058823529411765,17
0.9,5.022874311125768,6.020236294381431,0.7058823529411765,17
0.95,5.171492694458747,6.220374485940653,0.6823529411764707,17
1.0,5.324801517444033,6.4284358471365675,0.6764705882352942,17
