round,gp,mae,rmse,top10_hit,weight
6,Monaco Grand Prix,2.4588395142195743,2.9761771289055607,0.9,0.1
7,Spanish Grand Prix,3.8057676617998006,5.203245827535929,0.7,0.1
8,Canadian Grand Prix,4.5469165857493525,5.344913454853049,0.6,0.1
9,Austrian Grand Prix,3.13597828646448,3.982170032332246,0.9,0.1
10,British Grand Prix,2.99339159061423,3.8721738733796482,0.9,0.1
11,Hungarian Grand Prix,3.6408287240117225,4.739423391375283,0.7,0.1
12,Belgian Grand Prix,3.1479249259264748,4.893241565486736,0.8,0.1
13,Dutch Grand Prix,4.544098154793719,5.7461083009280225,0.7,0.1
14,Italian Grand Prix,2.3130386858633454,3.039054981456029,0.9,0.1
15,Singapore Grand Prix,5.292932054589161,6.314044731636117,0.5,0.1
16,Japanese Grand Prix,2.7812006899568615,3.9843094712447016,0.7,0.1
17,Qatar Grand Prix,3.384909959569461,4.741675979158012,0.8,0.1
18,United States Grand Prix,5.05366430521021,7.104959864299456,0.6,0.1
19,Mexico City Grand Prix,3.6853698207422427,5.33365126625999,0.7,0.1
20,São Paulo Grand Prix,3.6325563767259665,4.719076504495973,0.7,0.1
21,Las Vegas Grand Prix,4.978088237306393,5.950649994713949,0.5,0.1
22,Abu Dhabi Grand Prix,2.108922518441551,2.5350947467776814,0.8,0.1
